batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason
1	gpm_stl.csv	44077375	TIL I'M DYIN' I'M TRYIN' - INSTRO	TIL I'M DYIN' I'M TRYIN' - INSTRO	gputnam	Busting Out	0:03:25	96.0	Rock, Pop, Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
2	gpm_stl.csv	44080078	IMAGINE IF - INSTRO	IMAGINE IF - INSTRO	G Putnam Music	Remembering Forgetting	0:03:27	61.0	Singer/Songwriter	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
3	gpm_stl.csv	44080109	SOMEWHERE INSIDE - INSTRO	SOMEWHERE INSIDE - INSTRO	Cindy Youngren	Clearly	0:03:59	69.0	Pop, Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
4	gpm_stl.csv	63893177	MY BABY LEFT ME - INSTRO	MY BABY LEFT ME - INSTRO	G Putnam Music	Slight Light	0:03:46	71.0	Folk Rock, BGVs-OHs	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
5	gpm_stl.csv	64057105	TIL I'M DYIN' I'M TRYIN'	TIL I'M DYIN' I'M TRYIN'	Zach Linley	Cowboy Country	0:03:25	96.0	Country	YES		BATCH_CLEAN_PENDING_REVIEW	
6	gpm_stl.csv	64057117	YOU STOP TALKING - East Houston 1988	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Scott Monti	Vintage	0:03:36	96.0	Vintage Rock	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
7	gpm_stl.csv	64057123	CROSSIN' WIRES - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Scott Monti	VINTAGE	0:03:50	76.0	Vintage 1988	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
8	gpm_stl.csv	64057147	FEEL FREE - INSTRO	FEEL FREE - INSTRO	G Putnam Music	Desperate n’ Dirty	0:03:27	114.0	Pop, Country	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD
9	gpm_stl.csv	64057224	MISTY MIDNIGHT BLUE	MISTY MIDNIGHT BLUE	NATU Visinia	NATU Ought To	0:03:19	110.0	Pop/Country	YES		BATCH_CLEAN_PENDING_REVIEW	
10	gpm_stl.csv	64057298	OH SO CASUALLY	OH SO CASUALLY	Katie Beste	The Struggle	0:03:22	91.0	Mod Country	YES		BATCH_CLEAN_PENDING_REVIEW	
