batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason
6	gpm_stl.csv	64057117	YOU STOP TALKING - East Houston 1988	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Scott Monti	Vintage	0:03:36	96.0	Vintage Rock	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
7	gpm_stl.csv	64057123	CROSSIN' WIRES - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Scott Monti	VINTAGE	0:03:50	76.0	Vintage 1988	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
11	gpm_stl.csv	64057475	ANOTHER DANCE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Reed	Sexy Swagger	0:03:18	87.0	Singer/Songwriter Rock Indie Folk	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
13	gpm_stl.csv	64057722	TIME'S PRESENT - Indie Pop - Teen	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Blake	Change Me	0:02:41	124.0	Indie Pop	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
22	gpm_stl.csv	64059751	SAYING GOODBYE - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Johnson	Vintage	0:02:52	88.0	1989 ROCK/COUNTRY	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
23	gpm_stl.csv	64059752	FEARLESS - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Johnson	TV/Film	0:03:34	128.0	PERIOD	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
26	gpm_stl.csv	64066851	The Cemetery Stomp	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	HALLOWEEN	0:02:15	82.0	Holiday, Youth	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
44	gpm_stl.csv	69168061	SWEET TENNESSEE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	TRAD COUNTRY - MALE	0:03:52	78.0	Traditional Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
52	gpm_stl.csv	69207232	NEVER KNEW	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Brandon Howard	Cowboy Country	0:03:24	124.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
64	gpm_stl.csv	72435074	INTO THE LIGHT - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Emily Hope	Countin’ On Countin’ On	0:02:12	95.0	Indie	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
76	gpm_stl.csv	73381075	MY BABY LEFT ME - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Katie Beste	Dealin’ Feelin'	0:03:46	80.0	Country	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
77	gpm_stl.csv	73416651	MY BABY LEFT ME - Male	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Linley	Cowboy Country	0:03:38	71.0	Country-Rock/Blues	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE
103	gpm_stl.csv	79323545	CRUSH ON CHRISTMAS	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Emily Hope	Christmas	0:02:56	159.0	AD, CINEMATIC, Christmas	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
117	gpm_stl.csv	84305871	HURRY UP N' WAIT	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Chris Krause	Change Me	0:02:58	151.0	Americana	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
118	gpm_stl.csv	84307977	ME N' MY GUITAR	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Kris Bradley	Cowboy Country	0:03:21	117.0	Cont Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
119	gpm_stl.csv	84322838	PAST TENNESSEE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Simon Webb	Trad RICH n’ ALL	0:03:29	151.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE
140	gpm_stl.csv	88276317	HEARTS ♥️ LIKE MINE - INSTRO Eminor	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	Scherer Delight	0:03:15	140.0	Indie Pop	YES	GLOBAL_INSTRO_STANDARD;POSSIBLE_BPM_KEY_TITLE_CLUTTER	TRIAGE_LATER	POSSIBLE_BPM_KEY_TITLE_CLUTTER
