batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason	working_queue_triage_reason
6	gpm_stl.csv	64057117	YOU STOP TALKING - East Houston 1988	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Scott Monti	Vintage	0:03:36	96.0	Vintage Rock	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER
7	gpm_stl.csv	64057123	CROSSIN' WIRES - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Scott Monti	VINTAGE	0:03:50	76.0	Vintage 1988	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER
11	gpm_stl.csv	64057475	ANOTHER DANCE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Reed	Sexy Swagger	0:03:18	87.0	Singer/Songwriter Rock Indie Folk	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
13	gpm_stl.csv	64057722	TIME'S PRESENT - Indie Pop - Teen	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Blake	Change Me	0:02:41	124.0	Indie Pop	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER
17	gpm_stl.csv	64059509	C0RNFIELD - INSTRO	C0RNFIELD - INSTRO	G Putnam Music	BUSTING OUT	0:03:07	100.0	Americana	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	ZERO_LETTER_TITLE_REVIEW
22	gpm_stl.csv	64059751	SAYING GOODBYE - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Johnson	Vintage	0:02:52	88.0	1989 ROCK/COUNTRY	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER
23	gpm_stl.csv	64059752	FEARLESS - Rec'd 1988 - East Houston	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Amanda Johnson	TV/Film	0:03:34	128.0	PERIOD	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER
25	gpm_stl.csv	64059774	EVEN IF I TRIED - M	EVEN IF I TRIED - M	Alex Fehr	Sexy Swagger	0:02:28	84.0	Singer Songwriter	YES		BATCH_CLEAN_PENDING_REVIEW		VERSION_SUFFIX_REVIEW
26	gpm_stl.csv	64066851	The Cemetery Stomp	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	HALLOWEEN	0:02:15	82.0	Holiday, Youth	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
27	gpm_stl.csv	68309589	HOUSE OF THE RISING SUN - The Animals COVER	HOUSE OF THE RISING SUN - The Animals COVER	Cindy Youngren	COVER	0:03:09	84.0	Reimagined COVER	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
33	gpm_stl.csv	68876863	IT MUST HAVE BEEN LOVE - COVER	IT MUST HAVE BEEN LOVE - COVER	G Putnam Music	COVER	0:02:51	72.0	Reimagined COVER	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
39	gpm_stl.csv	69168014	MIDNIGHT RIDER - Allman Bros COVER	MIDNIGHT RIDER - Allman Bros COVER	Cindy Youngren	Synth Nymph	0:02:27	126.0	Dark REIMAGINED Cover	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
44	gpm_stl.csv	69168061	SWEET TENNESSEE	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	G Putnam Music	TRAD COUNTRY - MALE	0:03:52	78.0	Traditional Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
52	gpm_stl.csv	69207232	NEVER KNEW	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Brandon Howard	Cowboy Country	0:03:24	124.0	Country	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
64	gpm_stl.csv	72435074	INTO THE LIGHT - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Emily Hope	Countin’ On Countin’ On	0:02:12	95.0	Indie	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER;VERSION_SUFFIX_REVIEW
67	gpm_stl.csv	72657371	NOTHING COMPARES 2 U	NOTHING COMPARES 2 U	Sam Masini	COVER	0:02:55	108.0	REIMAGINED	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
76	gpm_stl.csv	73381075	MY BABY LEFT ME - Female	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Katie Beste	Dealin’ Feelin'	0:03:46	80.0	Country	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER;VERSION_SUFFIX_REVIEW
77	gpm_stl.csv	73416651	MY BABY LEFT ME - Male	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Zach Linley	Cowboy Country	0:03:38	71.0	Country-Rock/Blues	YES	POSSIBLE_VERSION_OR_SOURCE_NOTE	TRIAGE_LATER	POSSIBLE_VERSION_OR_SOURCE_NOTE	ALREADY_TRIAGE_LATER;VERSION_SUFFIX_REVIEW
82	gpm_stl.csv	73847525	RIGHT HERE RIGHT NOW - COVER	RIGHT HERE RIGHT NOW - COVER	G Putnam Music	COVER	0:02:18	130.0	Reimagined	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
83	gpm_stl.csv	73875184	CAN'T GET IT OUT OF MY HEAD - ELO COVER	CAN'T GET IT OUT OF MY HEAD - ELO COVER	Cindy Youngren	COVER	0:03:02	78.0	Reimagined 90s ROCK	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
94	gpm_stl.csv	74594828	GROOVE ISN'T HARD - INSTRO	GROOVE ISN'T HARD - INSTRO	G Putnam Music	Remembering Forgetting	0:01:59	108.0	Reimagined COVER	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	COVER_RIGHTS_SOURCE_REVIEW
101	gpm_stl.csv	77252391	CUTS LIKE A KNIFE - BRYAN ADAMS COVER	CUTS LIKE A KNIFE - BRYAN ADAMS COVER	G Putnam Music	COVER	0:02:54	75.0	Reimagined 80s ROCK	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
103	gpm_stl.csv	79323545	CRUSH ON CHRISTMAS	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Emily Hope	Christmas	0:02:56	159.0	AD, CINEMATIC, Christmas	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
104	gpm_stl.csv	79345356	OOPS! I DID IT AGAIN - COVER	OOPS! I DID IT AGAIN - COVER	G Putnam Music	COVER	0:02:36	80.0	Reimagined	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
114	gpm_stl.csv	82107185	GROOVE IS IN THE HEART - COVER	GROOVE IS IN THE HEART - COVER	G Putnam Music	COVER	0:01:59	108.0	Reimagined COVER	YES		BATCH_CLEAN_PENDING_REVIEW		COVER_RIGHTS_SOURCE_REVIEW
117	gpm_stl.csv	84305871	HURRY UP N' WAIT	TRIAGE_LATER_NO_PUBLIC_TITLE_DECISION	Chris Krause	Change Me	0:02:58	151.0	Americana	YES	DUPLICATE_TITLE	TRIAGE_LATER	DUPLICATE_TITLE	ALREADY_TRIAGE_LATER
