classification	filename	path
SSOT_CANDIDATE__MUSIC_LIBRARY_MASTER_OR_DUPLICATE	TOUGH PEOPLE DO-fullmix-M-Ac Gtr-El Gtr-El bass-Bup Vocs.wav	/Users/gputnammusicllc/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/TOUGH PEOPLE DO-fullmix-M-Ac Gtr-El Gtr-El bass-Bup Vocs.wav
SSOT_CANDIDATE__MUSIC_LIBRARY_MASTER_OR_DUPLICATE	Back to the Water.wav	[PRIVATE_SOURCE_PATH_RETAINED_IN_PRIVATE_VAULT_MANIFEST]
SSOT_CANDIDATE__MUSIC_LIBRARY_MASTER_OR_DUPLICATE	Tough People Do-SD-M-Ac Gtr-El Gtr-El bass-Bup Vocs.wav	/Users/gputnammusicllc/Music/Music/Media.localized/Music/Unknown Artist/Unknown Album/Tough People Do-SD-M-Ac Gtr-El Gtr-El bass-Bup Vocs.wav
DOWNLOADS_CANDIDATE__CHECK_DUPLICATE_BEFORE_USE	TOUGH PEOPLE DO-fullmix-M-Ac Gtr-El Gtr-El bass-Bup Vocs.wav	/Users/gputnammusicllc/Downloads/TOUGH PEOPLE DO-fullmix-M-Ac Gtr-El Gtr-El bass-Bup Vocs.wav
DOWNLOADS_CANDIDATE__CHECK_DUPLICATE_BEFORE_USE	Back to the Water.wav	[PRIVATE_DUPLICATE_PATH_RETAINED_IN_PRIVATE_VAULT_MANIFEST]
K_KUT_STAGING_SOURCE_CANDIDATE__NEEDS_GPMC_PROMOTION	Best Birthday.wav	/Users/gputnammusicllc/GPM_LOCAL_REPOS/k-kut/staging/individual-celebrations/birthday/source/Best Birthday.wav
K_KUT_STAGING_SOURCE_CANDIDATE__NEEDS_GPMC_PROMOTION	home-is-sunny-instro-84-5bpm-cminor.wav	/Users/gputnammusicllc/GPM_LOCAL_REPOS/k-kut/staging/individual-celebrations/twinkle/candidates/source/home-is-sunny-instro-84-5bpm-cminor.wav
K_KUT_STAGING_SOURCE_CANDIDATE__NEEDS_GPMC_PROMOTION	cornfield-elle.wav	/Users/gputnammusicllc/GPM_LOCAL_REPOS/k-kut/staging/individual-celebrations/twinkle/candidates/source/cornfield-elle.wav
K_KUT_STAGING_SOURCE_CANDIDATE__NEEDS_GPMC_PROMOTION	cornfield-instro-100bpm-gmaj.wav	/Users/gputnammusicllc/GPM_LOCAL_REPOS/k-kut/staging/individual-celebrations/twinkle/candidates/source/cornfield-instro-100bpm-gmaj.wav
K_KUT_PUBLIC_PIX_SOURCE_CANDIDATE__NEEDS_GPMC_PROMOTION	have-to-duet-jade-aaron.wav	/Users/gputnammusicllc/GPM_LOCAL_REPOS/k-kut/public/pix/fathers-day/source-audio/have-to-duet-jade-aaron.wav
