classification	filename	path
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	LIFE'S A TEST-Instrumental-Ac Gtr-El Bass-Stl Gtr-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/LIFE'S A TEST-Instrumental-Ac Gtr-El Bass-Stl Gtr-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	GET A CLUE-fullmix-F-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/GET A CLUE-fullmix-F-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	HAD ME BELIEVIN'-fullmix-F-Ac Gtr-El Bass-El Gtr-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/HAD ME BELIEVIN'-fullmix-F-Ac Gtr-El Bass-El Gtr-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	HIT REWIND-instrumental-Ac Gtr-El Gtr-Piano-El Bass-Keybrd.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/HIT REWIND-instrumental-Ac Gtr-El Gtr-Piano-El Bass-Keybrd.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	COME DANCE-Instrumental-Ac Gtr-Stl Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/COME DANCE-Instrumental-Ac Gtr-Stl Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	A Woman Knows-fullmix-Piano-Stl Gtr-El Bass-Strings-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/A Woman Knows-fullmix-Piano-Stl Gtr-El Bass-Strings-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CRAWL ON THROUGHinstrumental-Ac Gtr-El Bass-El Gtr-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CRAWL ON THROUGHinstrumental-Ac Gtr-El Bass-El Gtr-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CRAWL ON THROUGH-fullmix-Male-Ac Gtr-El Bass-El Gtr-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CRAWL ON THROUGH-fullmix-Male-Ac Gtr-El Bass-El Gtr-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	CLAWS-fullmix-F-Ac Gtr-El Gtr-El Bass-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/CLAWS-fullmix-F-Ac Gtr-El Gtr-El Bass-Drum.wav
SPIDERCUES_SPECIAL_TRACKING__PRESERVE_ALL__DO_NOT_PROMOTE_TO_ACTIVE_SSOT_YET	HAD ME BELIEVIN'-Instrumental-Ac Gtr-El Bass-El Gtr-Drum.wav	/Users/gputnammusicllc/Desktop/GPM Songs - SpiderCues-08-31-23/HAD ME BELIEVIN'-Instrumental-Ac Gtr-El Bass-El Gtr-Drum.wav
