registry_import_batch_id	registry_import_row_number	registry_import_status	source_queue_file	source_queue_row_number	track_record_status	track_id_assignment_status	public_title_decision_status	pix_status	lt_pix_status	kkr_status	ci_status	import_notes	batch_row	source_csv	source_id	source_title	proposed_display_title	artist	album	duration	bpm	genre	url_present	batch_flags	triage_status	triage_reason	working_queue_triage_reason
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	1	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	2	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	1	gpm_stl.csv	44077375	TIL I'M DYIN' I'M TRYIN' - INSTRO	TIL I'M DYIN' I'M TRYIN' - INSTRO	gputnam	Busting Out	0:03:25	96.0	Rock, Pop, Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	2	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	3	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	2	gpm_stl.csv	44080078	IMAGINE IF - INSTRO	IMAGINE IF - INSTRO	G Putnam Music	Remembering Forgetting	0:03:27	61.0	Singer/Songwriter	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	3	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	4	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	3	gpm_stl.csv	44080109	SOMEWHERE INSIDE - INSTRO	SOMEWHERE INSIDE - INSTRO	Cindy Youngren	Clearly	0:03:59	69.0	Pop, Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	4	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	5	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	4	gpm_stl.csv	63893177	MY BABY LEFT ME - INSTRO	MY BABY LEFT ME - INSTRO	G Putnam Music	Slight Light	0:03:46	71.0	Folk Rock, BGVs-OHs	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	5	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	6	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	5	gpm_stl.csv	64057105	TIL I'M DYIN' I'M TRYIN'	TIL I'M DYIN' I'M TRYIN'	Zach Linley	Cowboy Country	0:03:25	96.0	Country	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	6	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	7	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	8	gpm_stl.csv	64057147	FEEL FREE - INSTRO	FEEL FREE - INSTRO	G Putnam Music	Desperate n’ Dirty	0:03:27	114.0	Pop, Country	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	7	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	8	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	9	gpm_stl.csv	64057224	MISTY MIDNIGHT BLUE	MISTY MIDNIGHT BLUE	NATU Visinia	NATU Ought To	0:03:19	110.0	Pop/Country	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	8	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	9	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	10	gpm_stl.csv	64057298	OH SO CASUALLY	OH SO CASUALLY	Katie Beste	The Struggle	0:03:22	91.0	Mod Country	YES		BATCH_CLEAN_PENDING_REVIEW		
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	9	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	10	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	12	gpm_stl.csv	64057483	SWEETER THAN MINE - INSTRO	SWEETER THAN MINE - INSTRO	G Putnam Music	Pretty Pop	0:02:53	168.0	Indie	YES	GLOBAL_INSTRO_STANDARD	GLOBAL_STANDARD_APPLIED	GLOBAL_INSTRO_STANDARD	
GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	10	DRAFT_IMPORT_PENDING_REVIEW	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	11	TRACK_RECORD_NOT_CREATED	TRACK_ID_NOT_ASSIGNED	PUBLIC_TITLE_DRAFT_ONLY	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Generated from conservative clean/global working queue; draft only; no final registry action.	14	gpm_stl.csv	64059291	THAT'S A HAVE-TO	THAT'S A HAVE-TO	Jade Lotzow	Female	0:03:35	94.0	Pop, Country	YES		BATCH_CLEAN_PENDING_REVIEW		
