track_id_assignment_batch_id	assignment_row_number	registry_import_batch_id	registry_import_row_number	source_queue_file	source_queue_row_number	source_csv	source_id	source_title	proposed_display_title	artist	album	assigned_gpmc_track_id	assignment_status	official_track_record_status	pix_status	lt_pix_status	kkr_status	ci_status	assignment_note
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	1	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	1	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	2	gpm_stl.csv	44077375	TIL I'M DYIN' I'M TRYIN' - INSTRO	TIL I'M DYIN' I'M TRYIN' - INSTRO	gputnam	Busting Out	GPMC-TRK-000001	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	2	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	2	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	3	gpm_stl.csv	44080078	IMAGINE IF - INSTRO	IMAGINE IF - INSTRO	G Putnam Music	Remembering Forgetting	GPMC-TRK-000002	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	3	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	3	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	4	gpm_stl.csv	44080109	SOMEWHERE INSIDE - INSTRO	SOMEWHERE INSIDE - INSTRO	Cindy Youngren	Clearly	GPMC-TRK-000003	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	4	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	4	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	5	gpm_stl.csv	63893177	MY BABY LEFT ME - INSTRO	MY BABY LEFT ME - INSTRO	G Putnam Music	Slight Light	GPMC-TRK-000004	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	5	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	5	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	6	gpm_stl.csv	64057105	TIL I'M DYIN' I'M TRYIN'	TIL I'M DYIN' I'M TRYIN'	Zach Linley	Cowboy Country	GPMC-TRK-000005	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	6	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	6	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	7	gpm_stl.csv	64057147	FEEL FREE - INSTRO	FEEL FREE - INSTRO	G Putnam Music	Desperate n’ Dirty	GPMC-TRK-000006	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	7	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	7	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	8	gpm_stl.csv	64057224	MISTY MIDNIGHT BLUE	MISTY MIDNIGHT BLUE	NATU Visinia	NATU Ought To	GPMC-TRK-000007	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	8	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	8	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	9	gpm_stl.csv	64057298	OH SO CASUALLY	OH SO CASUALLY	Katie Beste	The Struggle	GPMC-TRK-000008	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	9	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	9	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	10	gpm_stl.csv	64057483	SWEETER THAN MINE - INSTRO	SWEETER THAN MINE - INSTRO	G Putnam Music	Pretty Pop	GPMC-TRK-000009	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
GPMC-TRK-ASSIGN-DRAFT-CLEAN-GLOBAL-20260624	10	GPMC-REG-IMPORT-DRAFT-CLEAN-GLOBAL-20260624	10	docs/registry/batch-intake-working-queues/gpmc_clean_global_track_working_queue_20260624.tsv	11	gpm_stl.csv	64059291	THAT'S A HAVE-TO	THAT'S A HAVE-TO	Jade Lotzow	Female	GPMC-TRK-000010	DRAFT_TRACK_ID_RESERVED_PENDING_ADMIN_APPROVAL	TRACK_RECORD_NOT_CREATED	PIX_NOT_CREATED	LT_PIX_NOT_CREATED	KKR_NOT_STARTED	CI_NOT_CREATED	Draft assignment only; ID not official until final import is approved and registry row is created.
